116	80
stone	0	0
grass	117	0
dirt	234	0
plainsGround	351	0
radiated	468	0
potassiumNitrate	585	0
ironOre	702	0
sand	819	0
snow	936	0
clay	1053	0
leadOre	1170	0
bedrock	1287	0
sandStone	1404	0
desertGround	1521	0
asphalt	1638	0
gravel	1755	0
ice	1872	0
fertileDirt	1989	0
fertileGrass	2106	0
gore	2223	0
fertileFarmland	2340	0
copperOre	2457	0
burntForestGround	2574	0
forestGround	2691	0
destroyedStone	2808	0
coalOre	2925	0
terrainFiller	3042	0
sod	3159	0
hardSod	3276	0
woodDebris	3393	0
oilDeposit	3510	0
woodFrameWedge60	3627	0
solidWoodFrameWedge60	3744	0
woodWedge60	3861	0
reinforcedWoodWedge60	3978	0
metalReinforcedWoodWedge60	0	81
scrapIronFrameWedge60	117	81
solidescrapIronFrameWedge60	234	81
scrapIronWedge60	351	81
reinforcedScrapIronWedge60	468	81
concreteReinforcedWedge60	585	81
reinforcedConcreteWedge60Broke01	702	81
reinforcedConcreteWedge60Broke02	819	81
reinforcedConcreteWedge60Broke03	936	81
steelWedge60	1053	81
woodPillar	1170	81
scrapIronPillar	1287	81
reinforcedScrapIronPillar	1404	81
solidRebarPillar	1521	81
rebarPillar	1638	81
concreteReinforcedPillar	1755	81
steelPillar	1872	81
concreteReinforcedPillarBroke01	1989	81
concreteReinforcedPillarBroke02	2106	81
concreteReinforcedPillarBroke03	2223	81
solidRebarFrame	2340	81
rebarFrame	2457	81
concreteForm	2574	81
pouredConcrete	2691	81
concreteReinforced	2808	81
concreteReinforcedBroke01	2925	81
concreteReinforcedBroke02	3042	81
concreteReinforcedBroke03	3159	81
wedgeBrick	3276	81
brick	3393	81
concrete	3510	81
scrapIronFrame	3627	81
solidScrapIronFrame	3744	81
scrapIronInsideCornerFrame	3861	81
scrapIronInsideCorner	3978	81
solidScrapIronInsideCornerFrame	0	162
reinforcedScrapIronInsideCorner	117	162
scrapIronOutsideCornerFrame	234	162
scrapIronOutsideCorner	351	162
oldWood	468	162
woodRampFrame	585	162
woodRamp	702	162
reinforcedWoodRamp	819	162
reinforcedWoodMetalRamp	936	162
woodInsideCornerFrame	1053	162
solidWoodInsideCornerFrame	1170	162
woodInsideCorner	1287	162
reinforcedWoodInsideCorner	1404	162
metalReinforcedWoodInsideCorner	1521	162
woodOutsideCornerFrame	1638	162
woodOutsideCorner	1755	162
solidWoodOutsideCornerFrame	1872	162
reinforcedWoodOutsideCorner	1989	162
metalReinforcedWoodOutsideCorner	2106	162
solidScrapIronOutsideCornerFrame	2223	162
reinforcedScrapIronOutsideCorner	2340	162
woodenStairs	2457	162
scrapStairs	2574	162
reinforcedScrapStairs	2691	162
scrapIronRampFrame	2808	162
solidScrapIronRampFrame	2925	162
scrapIronRamp	3042	162
reinforcedScrapIronRamp	3159	162
rebarRampFrame	3276	162
solidRebarRampFrame	3393	162
concreteRampFrame	3510	162
concreteSlope	3627	162
pouredConcreteRamp	3744	162
concreteRampReinforced	3861	162
reinforcedConcreteOutsideCorner	3978	162
reinforcedConcreteOutsideCornerBroke01	0	243
reinforcedConcreteOutsideCornerBroke02	117	243
reinforcedConcreteOutsideCornerBroke03	234	243
reinforcedConcreteInsideCorner	351	243
steelOutsideCorner	468	243
blueberrySprout	585	243
blueberry	702	243
potatoesSprout	819	243
potatoesYoung	936	243
potatoes	1053	243
blueberryYoung	1170	243
lootWasteland	1287	243
lootDesert	1404	243
lootBurntForest	1521	243
lootPlains	1638	243
animalGore	1755	243
storageHealth	1872	243
storageHealthInsecure	1989	243
insideCornerWedgeGreenMetalRoof	2106	243
brickPaintedIndustrialTile	2223	243
concreteInsideCorner	2340	243
reinforcedWoodenStairs	2457	243
garageStorage	2574	243
brickpainted	2691	243
snowyGrassDiagonal	2808	243
painting01	2925	243
tileFloor3	3042	243
tile3StairsQF	3159	243
glassShower	3276	243
wedgedCornerFullWoodShingles	3393	243
panelingBurntWedge	3510	243
cabinWoodShakes60	3627	243
cabinWoodShakeTip	3744	243
medicineCabinet	3861	243
awning3cornerFullWedge	3978	243
awning1WedgedInner	0	324
sandbags	117	324
camoNet	234	324
camoNetWedge	351	324
camoNetFullWedge	468	324
reinforcedWood	585	324
reinforcedWoodMetal	702	324
woodFrame	819	324
rock01	936	324
rock02	1053	324
rock03	1170	324
rock04	1287	324
rock05	1404	324
rock06	1521	324
rock07	1638	324
rock08	1755	324
rock09	1872	324
rock10	1989	324
rock11	2106	324
rock12	2223	324
campfire	2340	324
cookingPot	2457	324
oven	2574	324
oldChair	2691	324
sectionalMiddle	2808	324
sectionalCorner	2925	324
sectionalArm	3042	324
porchLight01	3159	324
porchLight04	3276	324
porchLight04Brass	3393	324
ceilingLight01	3510	324
ceilingLight02	3627	324
ceilingLight02Brass	3744	324
ceilingLight04	3861	324
ceilingLight05	3978	324
ceilingLight05Brass	0	405
wallLight01	117	405
ceilingLight07	234	405
mailbox	351	405
pew_segment01	468	405
pew_segment02	585	405
pew_segment03	702	405
chest01	819	405
chest02	936	405
trash_can01	1053	405
bin	1170	405
nightstand	1287	405
suitcase	1404	405
storageChest	1521	405
trashPile01	1638	405
