116	80
stone	0	0
grass	116	0
dirt	232	0
plainsGround	348	0
radiated	464	0
potassiumNitrate	580	0
ironOre	696	0
sand	812	0
snow	928	0
clay	1044	0
leadOre	1160	0
bedrock	1276	0
sandStone	1392	0
desertGround	1508	0
asphalt	1624	0
gravel	1740	0
tungstenOre	1856	0
ice	1972	0
fertileDirt	2088	0
fertileGrass	2204	0
gore	2320	0
fertileFarmland	2436	0
copperOre	2552	0
burntForestGround	2668	0
forestGround	2784	0
destroyedStone	2900	0
coalOre	3016	0
terrainFiller	3132	0
sod	3248	0
hardSod	3364	0
woodDebris	3480	0
crudeOil	3596	0
blueberrySprout	3712	0
blueberry	3828	0
potatoesSprout	3944	0
potatoesYoung	0	80
potatoes	116	80
blueberryYoung	232	80
lootWasteland	348	80
lootDesert	464	80
lootBurntForest	580	80
lootPlains	696	80
animalGore	812	80
storageHealth	928	80
storageHealthInsecure	1044	80
insideCornerWedgeGreenMetalRoof	1160	80
brickPaintedIndustrialTile	1276	80
gore2	1392	80
barbedWireCrafted	1508	80
garageStorage	1624	80
brickpainted	1740	80
snowyGrassDiagonal	1856	80
painting01	1972	80
tileFloor3	2088	80
tile3StairsQF	2204	80
glassShower	2320	80
gore3	2436	80
cabinWoodShakes60	2552	80
cabinWoodShakeTip	2668	80
medicineCabinet	2784	80
awning3cornerFullWedge	2900	80
awning1WedgedInner	3016	80
sandbags	3132	80
camoNet	3248	80
camoNetWedge	3364	80
camoNetFullWedge	3480	80
reinforcedWood	3596	80
reinforcedWoodMetal	3712	80
woodFrame	3828	80
rock01	3944	80
rock02	0	160
rock03	116	160
rock04	232	160
rock05	348	160
rock06	464	160
rock07	580	160
rock08	696	160
rock09	812	160
rock10	928	160
rock11	1044	160
rock12	1160	160
campfire	1276	160
cookingPot	1392	160
oven	1508	160
oldChair	1624	160
sectionalMiddle	1740	160
sectionalCorner	1856	160
sectionalArm	1972	160
porchLight01	2088	160
porchLight04	2204	160
porchLight04Brass	2320	160
ceilingLight01	2436	160
ceilingLight02	2552	160
ceilingLight02Brass	2668	160
ceilingLight04	2784	160
ceilingLight05	2900	160
ceilingLight05Brass	3016	160
wallLight01	3132	160
ceilingLight07	3248	160
mailbox	3364	160
pew_segment01	3480	160
pew_segment02	3596	160
pew_segment03	3712	160
chest01	3828	160
chest02	3944	160
coffin_top	0	240
coffin_bottom	116	240
